time,bid_price,ask_price
35836570866480,5859100,5861200
35836572983049,5859100,5861900
35836591439834,5859100,5861200
35836595073980,5859100,5861900
35836600338074,5859100,5861200
35836605998960,5859100,5861900
35836612181857,5859100,5861200
35836727081700,5859100,5861900
35836735253782,5859000,5861900
35836736541945,5859000,5861200
35836825889199,5859000,5861900
35837241462914,5859000,5861600
35837252397545,5859000,5861500
35837252744912,5859000,5860000
35837411516988,5858800,5860000
35837749568485,5858800,5861900
35837750370425,5858900,5861900
35837751416395,5858900,5861800
35838118970773,5859100,5861800
35838119086361,5859100,5861900
35838324080141,5859100,5861600
35838325186717,5859100,5861300
35838774567756,5859100,5861400
35838774585466,5859100,5861900
35839053288784,5859100,5861600
35839304892004,5859100,5861900
35840357718920,5859100,5861600
35840502361060,5859100,5861300
35840731261224,5859900,5861300
35840731394737,5859900,5861900
35840898650489,5859100,5861900
35840898771676,5859100,5861800
35840898818076,5859100,5861600
35840954964138,5859800,5861600
35843058325448,5859800,5861400
35846110992389,5859100,5861400
35846111122283,5859100,5861300
35846473146865,5859100,5861400
35846473150490,5859100,5861500
35846936014105,5859100,5861400
35847204711479,5859100,5861200
35847612474420,5859100,5861900
35847612829456,5859100,5861700
35847613761846,5859100,5861900
35847614459243,5859100,5861800
35847617689203,5859100,5861900
35848674113532,5859100,5861800
35849170021427,5859100,5861900
35850576401604,5859100,5861800
35850693131652,5859100,5861900
35851999651877,5860300,5861900
35852006006586,5860400,5861900
35852009199109,5860300,5861900
35852237722080,5860200,5861900
35853961554603,5860300,5861900
35854148801987,5860200,5861900
35854321770196,5859100,5861900
35854331286972,5859400,5861900
35854461392744,5859700,5861900
35854464331695,5859800,5861900
35854516091748,5859700,5861900
35854607167940,5859100,5861900
35855462213449,5860200,5861900
35858931296366,5860500,5861900
35859120907387,5860300,5861900
35859120974722,5860700,5861900
35859125849822,5860800,5861900
35859131802528,5860800,5862000
35859131894504,5860900,5862000
35859140458778,5861000,5862000
35859158201218,5860900,5862000
35859287264557,5860700,5862000
35859468403757,5860800,5862000
35859489216985,5860700,5862000
35859640395196,5860200,5862000
35859640520364,5860200,5861900
35859641029425,5859500,5861900
35859641104815,5859500,5861800
35859641150196,5859600,5861800
35859782020407,5859600,5860700
35859782190317,5859500,5860700
35865434818522,5859600,5860700
35866687978601,5859700,5860700
35866974089313,5859800,5860700
35878257409051,5858800,5860700
35878257536973,5858800,5860400
35878259553633,5859600,5860400
35878259650939,5858800,5860400
35878259746907,5858800,5860200
35878259868672,5859600,5860200
35878259923453,5858800,5860200
35878260826055,5858800,5860100
35879089854030,5858600,5860100
35879284135029,5858200,5860100
35879284220381,5858200,5859900
35879371046100,5858300,5859900
35879638340183,5858200,5859900
35883506284910,5859000,5859900
35885318591857,5859000,5861800
35885318697331,5859000,5861100
35885332052408,5859000,5860900
35886523489338,5859800,5860900
35891238900716,5859800,5862000
35891255402974,5860200,5862000
35891559345582,5860400,5862000
35891572662819,5859900,5862000
35891572743343,5859900,5861700
35891593626311,5859900,5861100
35892093490630,5859800,5861100
35892653105498,5860000,5861100
35893468711638,5859800,5861100
35893468799717,5859800,5860900
35893644070961,5859000,5860900
35893644162218,5859000,5860600
35893654735152,5859000,5860500
35894517869697,5860300,5860500
35894967628904,5859000,5860500
35894967713720,5859000,5860400
